data_source,matrix_size,n,m,rank,sampler,seed,final_error,final_relative_error,total_runtime,avg_iter_time,total_nnls_time,total_qubo_build_time,total_annealing_time,total_postprocess_time,num_qubo_solves,avg_qubo_solve_time,feasible,note
synthetic,10x10,10,10,5,path_integral,43,2.3782900692873595e-15,1.5570784105380676e-16,0.37372245895676315,0.024914830597117542,0.0011229589581489563,0.001300295116379857,0.37100237258709967,9.192561265081167e-05,150,0.0024733491505806644,,
synthetic,10x10,10,10,5,path_integral,44,2.173812713080067e-15,1.8442257627925617e-16,0.3891558750765398,0.025943725005102655,0.0010850001126527786,0.0015651752473786473,0.3861202038824558,0.00011957553215324879,150,0.0025741346925497056,,
synthetic,20x20,20,20,2,path_integral,42,2.0383465890949934e-15,1.316655174361487e-16,0.22831945796497166,0.015221297197664777,0.0015934580005705357,0.0014750391710549593,0.2247935796622187,0.0001657763496041298,300,0.0007493119322073956,,
synthetic,20x20,20,20,2,path_integral,43,2.232616071049176e-15,1.576520594364175e-16,0.2241923330584541,0.014946155537230273,0.0015615021111443639,0.0014156195102259517,0.22078504180535674,0.0001631999621167779,300,0.0007359501393511891,,
synthetic,20x20,20,20,2,path_integral,44,3.164470373670993e-15,2.1868824419530422e-16,0.22564387507736683,0.015042925005157788,0.001561082899570465,0.0013911569258198142,0.2222360314335674,0.00017102283891290426,300,0.0007407867714452247,,
synthetic,20x20,20,20,5,path_integral,42,5.132347610756001e-15,2.0188819660483103e-16,0.7729188329540193,0.05152792219693462,0.0020915031200274825,0.0028523303335532546,0.7674349958542734,0.000204001204110682,300,0.002558116652847578,,
synthetic,20x20,20,20,5,path_integral,43,5.352348096282305e-15,1.9534701451716657e-16,0.7702061670133844,0.051347077800892295,0.002175750909373164,0.0030775408959016204,0.7643774522002786,0.00021361734252423048,300,0.0025479248406675955,,
synthetic,20x20,20,20,5,path_integral,44,5.4155610913710385e-15,2.0341500994848947e-16,0.7788841250585392,0.051925608337235946,0.0025652911281213164,0.003002204350195825,0.7726965796900913,0.00026415963657200336,300,0.0025756552656336375,,
synthetic,20x20,20,20,10,path_integral,42,1.2734940469313563e-14,2.2109368468803878e-16,2.351963666966185,0.15679757779774567,0.00337108236271888,0.007854457129724324,2.339907015906647,0.0002815775806084275,300,0.007799690053022156,,
synthetic,20x20,20,20,10,path_integral,43,1.5947742472968012,0.02897594201146996,2.327948124962859,0.15519654166419058,0.0033521652221679688,0.007649000501260161,2.316179980407469,0.00027687568217515945,300,0.007720599934691564,,
