method,k,gamma,silhouette,davies_bouldin
agglo_average,11,0.5,0.02518423725569403,20.651292189515104
agglo_average,11,1.0,0.02518423725569403,20.651292189515104
agglo_average,11,0.75,0.025184236884123235,20.651294276417783
qlloyd_medoid,12,0.5,0.0243351978163929,21.221017943282856
qlloyd_medoid,12,1.0,0.0243351978163929,21.221017943282856
qlloyd_medoid,12,0.75,0.024335197593906763,21.22102486054142
agglo_average,10,0.5,0.02388322174081318,30.405465283744952
agglo_average,10,1.0,0.02388322174081318,30.405465283744952
agglo_average,10,0.75,0.023883221333094985,30.405454132824143
agglo_average,6,1.25,0.023808089040363117,11.003236721929278
qlloyd_mean,6,1.25,0.023518649531507556,13.845943351706902
agglo_average,9,0.5,0.02277597253794002,31.280391326929223
agglo_average,9,1.0,0.02277597253794002,31.280391326929223
agglo_average,9,0.75,0.02277597217040066,31.280384266783617
qlloyd_medoid,5,1.25,0.022172779107225753,5.923770110199387
qlloyd_medoid,9,0.5,0.0219585425390802,20.727078640067706
qlloyd_medoid,9,1.0,0.0219585425390802,20.727078640067706
qlloyd_medoid,9,0.75,0.021958542333436838,20.727090536797803
agglo_average,5,1.25,0.021853901157219937,7.366246808232086
qlloyd_medoid,11,0.5,0.02182756649960592,19.81135362803104
qlloyd_medoid,11,1.0,0.02182756649960592,19.81135362803104
qlloyd_medoid,11,0.75,0.021827566435746504,19.811350673035808
qlloyd_medoid,10,0.5,0.021778147363894385,25.668148744942908
qlloyd_medoid,10,1.0,0.021778147363894385,25.668148744942908
qlloyd_medoid,10,0.75,0.021778147163661346,25.668166904171606
qlloyd_mean,5,1.25,0.02168772277115955,12.948986331301944
qlloyd_mean,7,1.25,0.021361248555653547,18.07980570039707
agglo_average,8,0.5,0.02122981308255928,32.49691832861187
agglo_average,8,1.0,0.02122981308255928,32.49691832861187
agglo_average,8,0.75,0.02122981265440701,32.49691441571561
qlloyd_mean,11,0.5,0.020642855262479665,25.833400410458683
qlloyd_mean,11,1.0,0.020642855262479665,25.833400410458683
qlloyd_mean,11,0.75,0.020642854872324572,25.83340279974343
qlloyd_medoid,7,0.5,0.019615288981679545,86.03783358005428
qlloyd_medoid,7,1.0,0.019615288981679545,86.03783358005428
qlloyd_medoid,7,0.75,0.019615288715728197,86.0377765122463
qlloyd_medoid,8,0.5,0.019360484789042398,17.658305360601307
qlloyd_medoid,8,1.0,0.019360484789042398,17.658305360601307
qlloyd_medoid,8,0.75,0.019360484523909774,17.65830031914909
agglo_average,4,1.25,0.01903571225112483,5.617093481845944
qlloyd_medoid,6,0.5,0.018695319396504827,13.021890138808033
qlloyd_medoid,6,1.0,0.018695319396504827,13.021890138808033
qlloyd_medoid,6,0.75,0.018695319138813234,13.021886172309147
agglo_average,7,0.5,0.018650415665702552,16.82457755746526
agglo_average,7,1.0,0.018650415665702552,16.82457755746526
agglo_average,7,0.75,0.01865041531462546,16.824586753331708
qlloyd_medoid,4,1.25,0.018397157853156224,4.352549502070616
qlloyd_mean,12,0.5,0.01751078086244464,62.03571951119445
qlloyd_mean,12,1.0,0.01751078086244464,62.03571951119445
qlloyd_mean,12,0.75,0.017510780336843838,62.035675103265106
agglo_average,6,0.5,0.0174278313982812,12.323370818013572
agglo_average,6,1.0,0.0174278313982812,12.323370818013572
agglo_average,6,0.75,0.017427831039473568,12.32336933869653
qlloyd_mean,4,1.25,0.015092781906094714,7.849916757448705
qlloyd_medoid,5,0.5,0.014202087464273584,10.962760846313882
qlloyd_medoid,5,1.0,0.014202087464273584,10.962760846313882
qlloyd_medoid,5,0.75,0.01420208737386534,10.96276081494289
agglo_average,5,0.5,0.013295470698899001,12.383785556601582
agglo_average,5,1.0,0.013295470698899001,12.383785556601582
agglo_average,5,0.75,0.013295470574449075,12.383785335788666
qlloyd_mean,10,0.5,0.012721512347460407,18.8965694218302
qlloyd_mean,10,1.0,0.012721512347460407,18.8965694218302
qlloyd_mean,10,0.75,0.012721512213376761,18.89656183646043
agglo_average,4,0.5,0.011699579012789127,10.490505248257916
agglo_average,4,1.0,0.011699579012789127,10.490505248257916
agglo_average,4,0.75,0.011699578863130878,10.490504361277285
qlloyd_medoid,4,0.5,0.010752763799478019,8.252910509253125
qlloyd_medoid,4,1.0,0.010752763799478019,8.252910509253125
qlloyd_medoid,4,0.75,0.010752763772811908,8.252910570215608
qlloyd_mean,9,0.5,0.00897211118808293,23.80055150246346
qlloyd_mean,9,1.0,0.00897211118808293,23.80055150246346
qlloyd_mean,9,0.75,0.008972111084207403,23.800536352238378
qlloyd_mean,8,0.5,0.008434733857892021,24.996950553024448
qlloyd_mean,8,1.0,0.008434733857892021,24.996950553024448
qlloyd_mean,8,0.75,0.008434733760165939,24.996972500432722
qlloyd_mean,7,0.5,0.007321084675806613,67.44124719756643
qlloyd_mean,7,1.0,0.007321084675806613,67.44124719756643
qlloyd_mean,7,0.75,0.00732108464198579,67.44152339929714
qlloyd_mean,6,0.5,0.0068142700824077775,50.303144214100804
qlloyd_mean,6,1.0,0.0068142700824077775,50.303144214100804
qlloyd_mean,6,0.75,0.006814270050999243,50.30328212122339
qlloyd_mean,5,0.5,0.005413520652924444,26.424018274255435
qlloyd_mean,5,1.0,0.005413520652924444,26.424018274255435
qlloyd_mean,5,0.75,0.005413520556929802,26.424001926740935
qlloyd_mean,4,0.5,0.005052491589414463,14.846330509580755
qlloyd_mean,4,1.0,0.005052491589414463,14.846330509580755
qlloyd_mean,4,0.75,0.005052491522977332,14.846332194349827
vqe_adiabatic,8,6.0,-0.013794916368891842,2.576186719337044
vqe_adiabatic,10,6.0,-0.05068474004672886,8.794582216485999
