method,k,gamma,silhouette,davies_bouldin
qlloyd_mean,8,1.25,0.011983119395574324,36.61572149718058
qlloyd_mean,10,1.25,0.011904046869709854,43.84388486926734
qlloyd_mean,5,1.25,0.011888811789267493,24.406278033768423
qlloyd_mean,9,1.25,0.011800994896960418,50.301125764162
agglo_average,7,1.25,0.011788290094334398,26.517028067469784
qlloyd_mean,6,1.25,0.011484343201067662,28.672629166400643
qlloyd_medoid,11,1.25,0.011250234933877539,107.03695239410469
qlloyd_medoid,8,1.25,0.011105819017450256,47.58492723365363
agglo_average,6,1.25,0.01109018426989442,24.49573455200958
qlloyd_medoid,9,1.25,0.011080128273701377,76.78320508051456
qlloyd_medoid,6,1.25,0.010723877227962454,25.11476106363106
qlloyd_mean,11,1.25,0.0106075219830768,54.9681012642387
qlloyd_medoid,10,1.25,0.009912945362534136,30.33981472333836
agglo_average,5,1.25,0.009809588298361555,25.434179609530496
qlloyd_mean,7,1.25,0.009606261791442184,24.09373012296459
qlloyd_mean,12,1.25,0.009374703661131422,43.74522319273951
agglo_average,4,1.25,0.009015985821301252,33.35712022586719
qlloyd_medoid,4,1.25,0.00858458536838876,49.022189985212094
qlloyd_medoid,7,1.5,0.008438265555445678,11.915503937149094
qlloyd_medoid,5,1.25,0.008000290423446913,33.92538235429977
qlloyd_mean,4,1.25,0.007583200381397898,28.779539796667265
agglo_average,12,0.5,0.007084737820823081,72.86379105284574
agglo_average,12,1.0,0.007084737820823081,72.86379105284574
agglo_average,12,0.75,0.0070847378207922525,72.86379079885593
agglo_average,11,0.75,0.006788760418312506,73.61486462425759
agglo_average,11,0.5,0.006788760411151504,73.61486479839964
agglo_average,11,1.0,0.006788760411151504,73.61486479839964
agglo_average,10,0.5,0.006488467563702919,26.246025759367523
agglo_average,10,1.0,0.006488467563702919,26.246025759367523
agglo_average,10,0.75,0.006488467557715478,26.246025717275682
agglo_average,9,0.75,0.006336757667356704,32.43677926417727
agglo_average,9,0.5,0.006336757655528897,32.43677922312881
agglo_average,9,1.0,0.006336757655528897,32.43677922312881
agglo_average,8,0.75,0.0060902189787456805,26.62276665618662
agglo_average,8,0.5,0.006090218960514578,26.622766650256562
agglo_average,8,1.0,0.006090218960514578,26.622766650256562
qlloyd_medoid,12,0.75,0.005984409518839487,44.76816639825093
qlloyd_medoid,12,0.5,0.005984409485756025,44.76816623523809
qlloyd_medoid,12,1.0,0.005984409485756025,44.76816623523809
qlloyd_medoid,10,0.75,0.005919758449492001,31.822522950312624
qlloyd_medoid,10,0.5,0.005919758431958965,31.82252296061385
qlloyd_medoid,10,1.0,0.005919758431958965,31.82252296061385
