method,k,gamma,silhouette,davies_bouldin
qlloyd_mean,11,2.0,0.5510573889426249,5.235970218155051
qlloyd_medoid,9,1.25,0.5509642305826419,17.804136249381216
qlloyd_mean,7,2.5,0.5509554439114501,3.116525087464481
qlloyd_medoid,8,1.5,0.5509376576774607,22.402459699622753
qlloyd_mean,8,2.25,0.5509254493383153,2.7079835525951146
qlloyd_mean,10,1.75,0.5508277239663837,5.551565530040557
qlloyd_medoid,6,1.5,0.5507169859695921,9.039735173771941
qlloyd_mean,4,2.5,0.5504789471150946,3.380878058663532
agglo_average,4,1.75,0.5504076935223883,5.899648703012715
qlloyd_medoid,4,3.0,0.5503439730216937,7.029304510445271
qlloyd_mean,7,2.25,0.5501674743370398,3.372489126443343
qlloyd_medoid,5,2.0,0.5501183136774983,6.999933011100788
qlloyd_mean,7,3.0,0.5499004655962418,2.415154961556404
qlloyd_mean,9,2.0,0.5498941038688892,3.734546722107269
qlloyd_mean,8,2.0,0.5498031669915238,2.471293787478046
qlloyd_medoid,7,1.25,0.5496821391205199,19.56385273275484
agglo_average,6,1.25,0.549660252130851,13.222923808148517
qlloyd_medoid,8,1.25,0.5496444474759223,17.489145096749613
qlloyd_mean,4,2.25,0.5495751568105803,3.5726429520005514
agglo_average,4,1.5,0.5495345532013421,10.192286896061141
qlloyd_mean,11,1.75,0.5493728083212168,4.400147835473739
qlloyd_medoid,7,1.5,0.549025853371772,11.763513907512172
qlloyd_mean,5,3.0,0.5488943246339949,2.8836833429083337
qlloyd_medoid,12,0.5,0.5488909602303131,16.277116236147755
qlloyd_medoid,12,1.0,0.5488909602303131,16.277116236147755
qlloyd_medoid,12,0.75,0.5488909412743856,16.27714164271735
qlloyd_mean,12,2.25,0.5488825328216722,2.1018359637350907
qlloyd_medoid,5,1.75,0.5487245228654596,5.22784645746713
qlloyd_mean,4,2.0,0.5485515381116576,5.571987539005131
agglo_average,5,1.25,0.548507931902186,13.886707782820825
qlloyd_medoid,4,2.5,0.5482880513427112,24.408184300978736
qlloyd_mean,8,1.75,0.5482246903205197,2.40017314399894
agglo_average,12,0.5,0.5482104729196119,15.27247646686507
agglo_average,12,1.0,0.5482104729196119,15.27247646686507
agglo_average,12,0.75,0.5482104580784856,15.272509756917552
qlloyd_mean,12,2.0,0.5481756774776443,1.6466740527792687
qlloyd_medoid,6,1.25,0.5481255315283252,13.634167987236408
qlloyd_medoid,10,0.5,0.5480286058172674,20.65066668094526
qlloyd_medoid,10,1.0,0.5480286058172674,20.65066668094526
qlloyd_medoid,10,0.75,0.5480285897348329,20.65073620314906
qlloyd_medoid,11,0.5,0.5479179985639738,16.445827450742538
qlloyd_medoid,11,1.0,0.5479179985639738,16.445827450742538
qlloyd_medoid,11,0.75,0.5479179842833456,16.445939596560002
qlloyd_medoid,4,2.25,0.5478670727853809,6.432034191350627
qlloyd_mean,5,2.5,0.5477668102895219,1.737267918089809
qlloyd_mean,10,1.25,0.5477555228552289,11.677942456238283
qlloyd_medoid,4,2.0,0.5477448806346704,3.9206114814292596
qlloyd_mean,5,2.25,0.5475074467107678,2.9281119216383567
qlloyd_mean,11,1.5,0.5473522458970069,5.267989105700694
qlloyd_mean,7,2.0,0.5473099424458465,2.9234195374099614
agglo_average,11,0.5,0.5472459470602687,15.054893058608798
agglo_average,11,1.0,0.5472459470602687,15.054893058608798
agglo_average,11,0.75,0.547245941119299,15.054927171645932
agglo_average,9,0.5,0.5471936956571003,16.625651169371253
agglo_average,9,1.0,0.5471936956571003,16.625651169371253
agglo_average,9,0.75,0.5471936896867544,16.625691860928608
qlloyd_mean,4,1.75,0.5471659252576664,5.898440667724397
agglo_average,4,1.25,0.5471369872890812,10.722524633040983
agglo_average,10,0.5,0.5470244327425776,16.016120487987674
agglo_average,10,1.0,0.5470244327425776,16.016120487987674
agglo_average,10,0.75,0.5470244267772659,16.016155977703583
qlloyd_mean,9,1.5,0.5469502528354486,3.278663882043965
qlloyd_mean,10,1.5,0.5468006408473256,4.9546488916930445
qlloyd_medoid,9,0.5,0.5467760958753056,48.552114315651735
qlloyd_medoid,9,1.0,0.5467760958753056,48.552114315651735
qlloyd_medoid,9,0.75,0.5467760846725075,48.55278945769245
qlloyd_medoid,5,1.5,0.5466141487738387,8.053534170986563
qlloyd_mean,8,1.5,0.5465569674013971,2.9094642577925143
qlloyd_mean,11,1.25,0.5464513390617706,3.4627388511228907
qlloyd_medoid,8,0.5,0.5463363970925079,39.64702001192154
qlloyd_medoid,8,1.0,0.5463363970925079,39.64702001192154
qlloyd_medoid,8,0.75,0.5463363881882,39.64680304276472
agglo_average,8,0.5,0.546222152791161,28.702580405991423
agglo_average,8,1.0,0.546222152791161,28.702580405991423
agglo_average,8,0.75,0.5462221458927862,28.702729220606663
agglo_average,7,0.5,0.5460849034977157,32.28642863312153
agglo_average,7,1.0,0.5460849034977157,32.28642863312153
agglo_average,7,0.75,0.5460848967827172,32.286600375918816
qlloyd_medoid,5,1.25,0.545941410947475,10.267321983047486
qlloyd_medoid,4,1.75,0.545705719313121,4.743071278278868
qlloyd_mean,9,1.25,0.5455681200041474,6.601858327222546
